"","c.sold.region1..sold.region2.","c.rep..region1...100...rep..region2...100.."
"1",3788,"region1"
"2",4125,"region1"
"3",4748,"region1"
"4",3651,"region1"
"5",4981,"region1"
"6",2926,"region1"
"7",2863,"region1"
"8",2965,"region1"
"9",2701,"region1"
"10",2520,"region1"
"11",4627,"region1"
"12",2944,"region1"
"13",5658,"region1"
"14",3837,"region1"
"15",3385,"region1"
"16",3725,"region1"
"17",3378,"region1"
"18",2628,"region1"
"19",3378,"region1"
"20",4892,"region1"
"21",5533,"region1"
"22",2949,"region1"
"23",2248,"region1"
"24",4565,"region1"
"25",3920,"region1"
"26",2691,"region1"
"27",4437,"region1"
"28",3423,"region1"
"29",2312,"region1"
"30",3492,"region1"
"31",3794,"region1"
"32",4753,"region1"
"33",5784,"region1"
"34",5785,"region1"
"35",4454,"region1"
"36",4509,"region1"
"37",3494,"region1"
"38",5053,"region1"
"39",5174,"region1"
"40",2955,"region1"
"41",4346,"region1"
"42",5602,"region1"
"43",2543,"region1"
"44",2941,"region1"
"45",5418,"region1"
"46",4089,"region1"
"47",3660,"region1"
"48",5401,"region1"
"49",3555,"region1"
"50",5213,"region1"
"51",5457,"region1"
"52",3677,"region1"
"53",2105,"region1"
"54",2755,"region1"
"55",4020,"region1"
"56",4632,"region1"
"57",4738,"region1"
"58",4755,"region1"
"59",4974,"region1"
"60",4255,"region1"
"61",5788,"region1"
"62",4614,"region1"
"63",3709,"region1"
"64",2108,"region1"
"65",2630,"region1"
"66",3675,"region1"
"67",4245,"region1"
"68",3565,"region1"
"69",4485,"region1"
"70",2764,"region1"
"71",2691,"region1"
"72",2312,"region1"
"73",4566,"region1"
"74",4919,"region1"
"75",2510,"region1"
"76",4405,"region1"
"77",2411,"region1"
"78",4410,"region1"
"79",3707,"region1"
"80",3976,"region1"
"81",3599,"region1"
"82",4851,"region1"
"83",3961,"region1"
"84",3648,"region1"
"85",3298,"region1"
"86",5272,"region1"
"87",2855,"region1"
"88",3441,"region1"
"89",1832,"region1"
"90",5694,"region1"
"91",4202,"region1"
"92",4088,"region1"
"93",3568,"region1"
"94",3917,"region1"
"95",2754,"region1"
"96",4090,"region1"
"97",2627,"region1"
"98",3075,"region1"
"99",3631,"region1"
"100",3445,"region1"
"101",3928,"region2"
"102",2676,"region2"
"103",958,"region2"
"104",3020,"region2"
"105",3000,"region2"
"106",709,"region2"
"107",1804,"region2"
"108",4033,"region2"
"109",2082,"region2"
"110",3209,"region2"
"111",2582,"region2"
"112",-358,"region2"
"113",1107,"region2"
"114",2171,"region2"
"115",3051,"region2"
"116",1206,"region2"
"117",1448,"region2"
"118",1509,"region2"
"119",2713,"region2"
"120",2166,"region2"
"121",4185,"region2"
"122",2493,"region2"
"123",2793,"region2"
"124",1655,"region2"
"125",3329,"region2"
"126",2878,"region2"
"127",1988,"region2"
"128",2772,"region2"
"129",3468,"region2"
"130",975,"region2"
"131",2117,"region2"
"132",3066,"region2"
"133",3220,"region2"
"134",2140,"region2"
"135",1796,"region2"
"136",2844,"region2"
"137",1428,"region2"
"138",1800,"region2"
"139",2103,"region2"
"140",3390,"region2"
"141",3707,"region2"
"142",2587,"region2"
"143",2794,"region2"
"144",2684,"region2"
"145",1618,"region2"
"146",497,"region2"
"147",1850,"region2"
"148",3955,"region2"
"149",3611,"region2"
"150",1914,"region2"
"151",2142,"region2"
"152",2298,"region2"
"153",3164,"region2"
"154",2713,"region2"
"155",2599,"region2"
"156",1393,"region2"
"157",2482,"region2"
"158",741,"region2"
"159",2273,"region2"
"160",1593,"region2"
"161",490,"region2"
"162",2295,"region2"
"163",3067,"region2"
"164",3101,"region2"
"165",912,"region2"
"166",1651,"region2"
"167",1718,"region2"
"168",361,"region2"
"169",3212,"region2"
"170",3600,"region2"
"171",2292,"region2"
"172",1860,"region2"
"173",2611,"region2"
"174",1191,"region2"
"175",2037,"region2"
"176",2291,"region2"
"177",2386,"region2"
"178",2974,"region2"
"179",2447,"region2"
"180",1208,"region2"
"181",2508,"region2"
"182",1835,"region2"
"183",2103,"region2"
"184",2009,"region2"
"185",807,"region2"
"186",3124,"region2"
"187",1494,"region2"
"188",566,"region2"
"189",994,"region2"
"190",1348,"region2"
"191",1837,"region2"
"192",3692,"region2"
"193",2623,"region2"
"194",1710,"region2"
"195",1351,"region2"
"196",2332,"region2"
"197",3586,"region2"
"198",976,"region2"
"199",1333,"region2"
"200",1051,"region2"
