id,coffee,preference,black,temp,milk,additions
1,5,Latte,No,182,Yes,Sometimes
2,0,Drip,No,160,Yes,Always
3,1,Latte,No,194,Yes,Never
4,2,Drip,No,169,No,Sometimes
5,1,Espresso,No,168,Yes,Sometimes
6,2,Espresso,No,161,No,Always
7,2,Latte,No,181,Yes,Sometimes
8,3,Drip,No,165,Yes,Sometimes
9,4,Drip,No,177,Yes,Sometimes
10,2,Drip,Yes,177,Yes,Sometimes
11,3,Espresso,No,166,No,Sometimes
12,2,Drip,No,156,No,Always
13,2,Latte,No,166,Yes,Sometimes
14,1,Espresso,No,168,No,Sometimes
15,4,Drip,Yes,178,Yes,Sometimes
16,2,Drip,Yes,187,Yes,Sometimes
17,2,Drip,No,205,Yes,Sometimes
18,4,Drip,Yes,169,No,Always
19,2,Drip,No,161,Yes,Sometimes
20,1,Drip,No,170,Yes,Sometimes
21,3,Espresso,No,170,No,Never
22,4,Latte,No,178,No,Never
23,6,Drip,No,182,No,Sometimes
24,1,Drip,No,166,No,Sometimes
25,3,Drip,No,172,Yes,Sometimes
26,5,Espresso,No,178,Yes,Always
27,1,Latte,No,177,Yes,Sometimes
28,4,Drip,No,183,Yes,Sometimes
29,1,Espresso,No,174,No,Sometimes
30,1,Drip,No,172,Yes,Sometimes
31,1,Latte,No,170,No,Never
32,3,Espresso,No,188,No,Sometimes
33,2,Espresso,No,171,Yes,Sometimes
34,2,Latte,No,180,No,Sometimes
35,1,Espresso,No,171,Yes,Sometimes
36,2,Drip,No,188,No,Always
37,0,Drip,No,169,No,Always
38,2,Latte,No,179,No,Sometimes
39,3,Drip,Yes,168,Yes,Sometimes
40,5,Drip,Yes,172,No,Sometimes
41,0,Espresso,No,169,Yes,Sometimes
42,2,Drip,No,190,No,Sometimes
43,5,Espresso,No,163,Yes,Sometimes
44,3,Latte,No,174,No,Never
45,1,Drip,Yes,174,Yes,Always
46,2,Espresso,No,170,Yes,Sometimes
47,5,Drip,No,170,Yes,Always
48,1,Drip,Yes,186,No,Always
49,3,Drip,No,177,No,Sometimes
50,0,Latte,No,162,Yes,Always
51,2,Drip,No,162,No,Always
52,1,Drip,No,184,Yes,Sometimes
53,2,Espresso,No,169,Yes,Always
54,0,Drip,No,153,Yes,Sometimes
55,0,Latte,No,178,Yes,Always
56,1,Drip,Yes,164,Yes,Sometimes
57,1,Drip,No,166,Yes,Always
58,2,Latte,No,173,No,Always
59,2,Espresso,Yes,160,Yes,Always
60,3,Drip,Yes,178,Yes,Sometimes
61,2,Drip,No,186,Yes,Always
62,1,Latte,No,175,Yes,Sometimes
63,3,Drip,Yes,177,Yes,Sometimes
64,0,Drip,No,185,No,Sometimes
65,2,Drip,No,167,Yes,Sometimes
66,0,Latte,No,186,No,Always
67,1,Latte,No,185,Yes,Sometimes
68,3,Drip,Yes,167,Yes,Sometimes
69,1,Drip,No,161,Yes,Sometimes
70,1,Drip,No,169,No,Sometimes
71,2,Drip,No,180,Yes,Sometimes
72,3,Espresso,No,164,Yes,Sometimes
73,2,Latte,No,193,No,Always
74,2,Latte,No,174,Yes,Sometimes
75,3,Drip,No,167,Yes,Sometimes
76,3,Latte,No,185,Yes,Always
77,2,Espresso,No,159,No,Sometimes
78,2,Drip,Yes,165,Yes,Sometimes
79,0,Drip,No,181,Yes,Sometimes
80,1,Drip,No,155,No,Sometimes
81,1,Espresso,No,183,Yes,Sometimes
82,1,Espresso,No,171,No,Never
83,4,Drip,No,168,Yes,Sometimes
84,1,Drip,No,167,No,Sometimes
85,2,Drip,No,170,Yes,Sometimes
86,2,Espresso,No,168,Yes,Sometimes
87,2,Espresso,No,180,Yes,Sometimes
88,3,Drip,Yes,176,No,Sometimes
89,2,Drip,Yes,161,Yes,Sometimes
90,1,Drip,No,165,Yes,Never
91,2,Espresso,No,188,Yes,Sometimes
92,2,Espresso,Yes,155,No,Always
93,3,Drip,No,157,No,Sometimes
94,2,Latte,No,172,Yes,Sometimes
95,3,Latte,Yes,179,No,Always
96,1,Espresso,No,171,Yes,Sometimes
97,0,Latte,No,158,No,Always
98,2,Drip,Yes,170,No,Never
99,1,Espresso,No,166,Yes,Sometimes
100,2,Espresso,No,173,Yes,Always
