projetid,team, profit.earned.for.company 
MF3688S,Team X," $1,590.56 "
EQ7342V,Team X," $1,142.64 "
PQ2146C,Team X, $989.90 
NR2174R,Team X," $1,030.48 "
HF4826R,Team X, $818.83 
GV2691H,Team X," $1,150.00 "
DG6685N,Team X," $1,026.49 "
RS6664Z,Team X," $1,230.89 "
SB4945B,Team X," $1,164.28 "
CK6143K,Team X," $1,074.21 "
SD4157X,Team Y, $289.01 
OG7194I,Team Y, $457.82 
XI3380I,Team Y, $887.38 
RR9444Q,Team Y, $471.54 
RM2073W,Team Y, $552.92 
XP7023E,Team Y," $1,313.18 "
AL3024B,Team Y, $681.48 
ZX1975Y,Team Y, $548.42 
